  PYTHIA EVENT FILE 
 ============================================
I, ievent, genevent, subprocess, nucleon,                 targetparton, xtargparton, beamparton, xbeamparton,               thetabeamprtn, truey, trueQ2, truex, trueW2, trueNu, leptonphi,   s_hat, t_hat, u_hat, pt2_hat, Q2_hat, F2, F1, R, sigma_rad,       SigRadCor, EBrems, photonflux, t-diff, nrTracks
 ============================================
  I  K(I,1)  K(I,2)  K(I,3)  K(I,4)  K(I,5)            P(I,1)  P(I,2)  P(I,3)  P(I,4)  P(I,5)  V(I,1)  V(I,2)  V(I,3)
 ============================================
   0          1    1   99 2212         -4  0.012570           22     0.948683     0.000000      0.31094973662       31.26930419406        0.01256980281     2457.26367187500     1325.65930175781        3.08330475421     2211.53731874763       -1105.768659374       -1105.768659374           0.000000000          31.269304194           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.266402228       -1105.768659374             63
 ============================================
    33      1         22       22        0        0       -1.653703        0.076367        2.694220        3.162181        0.000000       -0.000215        0.000013        0.000355
    34      1        211       23        0        0       -0.264847        0.354466       -0.303103        0.554203        0.139570        0.000000        0.000000        0.000000
    35     11        111       23       43       44       -0.418885       -0.363902       -0.338663        0.663928        0.134980        0.000000        0.000000        0.000000
    36      1       -211       25        0        0       -0.183498       -0.159642        0.295153        0.407127        0.139570        0.000000        0.000000        0.000000
    37      1        211       25        0        0       -0.224494        0.126175        0.363746        0.467021        0.139570        0.000000        0.000000        0.000000
    38     11        111       25       45       46       -0.071197       -0.125283       -0.088402        0.216332        0.134980        0.000000        0.000000        0.000000
    39     11        431       28       47       48        3.374377       -0.832733       -0.065919        3.994897        1.968500        0.000000        0.000000        0.000000
    40      1         22       28        0        0        0.179198       -0.144832       -0.113684        0.256929        0.000000        0.000000        0.000000        0.000000
    41     11        111       31       49       50        0.035697       -0.449882       20.881911       20.887223        0.134980       13.063840      -25.176084     1480.773088
    42     11        111       31       51       52        0.218541       -0.040978        7.823329        7.827652        0.134980       13.063840      -25.176084     1480.773088
    43      1         22       35        0        0       -0.274278       -0.201035       -0.135443        0.366045        0.000000       -0.000014       -0.000012       -0.000011
    44      1         22       35        0        0       -0.144606       -0.162867       -0.203220        0.297884        0.000000       -0.000014       -0.000012       -0.000011
    45      1         22       38        0        0       -0.077761       -0.019047       -0.073820        0.108899        0.000000       -0.000005       -0.000009       -0.000007
    46      1         22       38        0        0        0.006564       -0.106236       -0.014582        0.107433        0.000000       -0.000005       -0.000009       -0.000007
    47     11        323       39       53       54        1.439583       -0.314849       -0.392168        1.777225        0.912800        0.010182       -0.002513       -0.000199
    48     11       -313       39       55       56        1.934794       -0.517884        0.326249        2.217672        0.894427        0.010182       -0.002513       -0.000199
    49      1         22       41        0        0       -0.015559       -0.391799       16.778418       16.782999        0.000000       13.063842      -25.176109     1480.774250
    50      1         22       41        0        0        0.051257       -0.058082        4.103493        4.104224        0.000000       13.063842      -25.176109     1480.774250
    51      1         22       42        0        0        0.029365       -0.053912        1.157777        1.159403        0.000000       13.064052      -25.176124     1480.780679
    52      1         22       42        0        0        0.189176        0.012934        6.665552        6.668249        0.000000       13.064052      -25.176124     1480.780679
    53     11        311       47       57       57        1.333797       -0.453597       -0.256964        1.516071        0.497670        0.010182       -0.002513       -0.000199
    54      1        211       47        0        0        0.105786        0.138747       -0.135204        0.261154        0.139570        0.010182       -0.002513       -0.000199
    55      1       -321       48        0        0        0.929455       -0.244778       -0.096449        1.084780        0.493600        0.010182       -0.002513       -0.000199
    56      1        211       48        0        0        1.005339       -0.273106        0.422698        1.132893        0.139570        0.010182       -0.002513       -0.000199
    57     11        310       53       58       59        1.333797       -0.453597       -0.256964        1.516071        0.497670        0.010182       -0.002513       -0.000199
    58      1        211       57        0        0        0.349302       -0.102988       -0.247088        0.461682        0.139570       76.547145      -26.031146      -14.745493
    59      1       -211       57        0        0        0.984495       -0.350609       -0.009876        1.054388        0.139570       76.547145      -26.031146      -14.745493
 =============== Event finished ===============
   0          6    1   99 2212         -2  0.009212           22     0.948683     0.000000      0.37243813936       27.44900814085        0.00921240356     2953.00195312500     1587.80029296875        3.95577655070     2657.70182840799       -1328.850914204       -1328.850914204           0.000000000          27.449008141           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.252636297       -1328.850914204             53
 ============================================
     1     21         11        0        3        4        0.000000        0.000000      -20.000000       20.000000        0.000510        0.000000        0.000000        0.000000
     2     21       2212        0        5        0       -0.000000        0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     3     21         11        1        0        0        2.849102       -3.018039      -12.208117       12.894342        0.000510        0.000000        0.000000        0.000000
     4     21         22        1        0        0       -2.849102        3.018039       -7.791883        7.105658       -5.239180        0.000000        0.000000        0.000000
     5     21       2212        2        0        0       -0.000000        0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     6     21         22        4        0        0       -2.849944        3.018930       -7.793641        7.108302       -5.239180        0.000000        0.000000        0.000000
     7     21         -2        5        0        0        0.000008       -0.000008        0.920984        0.920984        0.000000        0.000000        0.000000        0.000000
     8     21         22        6        0        0       -2.849944        3.018930       -7.793641        7.108302       -5.239180        0.000000        0.000000        0.000000
     9     21         -2        7        0        0        0.000008       -0.000008        0.920984        0.920984        0.000000        0.000000        0.000000        0.000000
    10     21         -2        9        0        0       -2.849936        3.018922       -6.872656        8.029286        0.000000        0.000000        0.000000        0.000000
    11      1       2212        5        0        0        0.252046        0.410810       60.764126       60.773281        0.938270        0.000000        0.000000        0.000000
    12      1         11        3        0        0        2.849102       -3.018039      -12.208117       12.894342        0.000510        0.000000        0.000000        0.000000
    13     12          2        5       17       17        0.000733       -0.003230       38.015159       38.016592        0.330000        0.000000        0.000000        0.000000
    14     12         21       10       17       17        0.258489       -0.279759       -0.455695        0.593919        0.000000        0.000000        0.000000        0.000000
    15     12         21       10       17       17       -1.870819        0.802906       -1.858221        2.756376        0.000000        0.000000        0.000000        0.000000
    16     11         -2       10       17       17       -1.489552        2.087312       -4.257251        4.969892        0.000000        0.000000        0.000000        0.000000
    17     11         92       13       18       25       -3.101148        2.607229       31.443991       46.336779       33.792865        0.000000        0.000000        0.000000
    18      1        211       17        0        0        0.227400        0.582405       21.059472       21.069213        0.139570        0.000000        0.000000        0.000000
    19     11       3114       17       26       27        0.010291       -0.341220       11.211243       11.303240        1.398117        0.000000        0.000000        0.000000
    20     11      -3314       17       28       29       -0.129039       -0.246708        4.717206        4.974733        1.555126        0.000000        0.000000        0.000000
    21     11       -323       17       30       31       -0.517658       -0.146850        0.138602        1.104669        0.954751        0.000000        0.000000        0.000000
    22     11        111       17       32       33        0.313371        0.014602        0.063640        0.347396        0.134980        0.000000        0.000000        0.000000
    23     11        323       17       34       35       -0.812782        0.377280       -1.096887        1.680116        0.903701        0.000000        0.000000        0.000000
    24     11       -323       17       36       37       -1.484796        0.984452       -2.414853        3.132433        0.898253        0.000000        0.000000        0.000000
    25     11        111       17       38       39       -0.707937        1.383268       -2.234431        2.724978        0.134980        0.000000        0.000000        0.000000
    26     11       3122       19       40       41       -0.191481       -0.237464        8.370149        8.449686        1.115680        0.000000        0.000000        0.000000
    27      1       -211       19        0        0        0.201772       -0.103756        2.841093        2.853554        0.139570        0.000000        0.000000        0.000000
    28     11      -3322       20       42       43       -0.118722       -0.311353        4.547331        4.745336        1.314900        0.000000        0.000000        0.000000
    29      1        211       20        0        0       -0.010317        0.064645        0.169875        0.229397        0.139570        0.000000        0.000000        0.000000
    30     11       -311       21       44       44       -0.268071        0.238502        0.040399        0.614860        0.497670        0.000000        0.000000        0.000000
    31      1       -211       21        0        0       -0.249586       -0.385352        0.098203        0.489809        0.139570        0.000000        0.000000        0.000000
    32      1         22       22        0        0        0.299428        0.001403        0.091913        0.313220        0.000000        0.000005        0.000000        0.000001
    33      1         22       22        0        0        0.013943        0.013199       -0.028273        0.034176        0.000000        0.000005        0.000000        0.000001
    34     11        311       23       45       45       -0.364695        0.197733       -0.961997        1.159833        0.497670        0.000000        0.000000        0.000000
    35      1        211       23        0        0       -0.448087        0.179547       -0.134890        0.520283        0.139570        0.000000        0.000000        0.000000
    36      1       -321       24        0        0       -1.031177        0.561933       -2.010504        2.380097        0.493600        0.000000        0.000000        0.000000
    37     11        111       24       46       47       -0.453619        0.422518       -0.404350        0.752337        0.134980        0.000000        0.000000        0.000000
    38      1         22       25        0        0       -0.659205        1.310005       -2.153542        2.605457        0.000000       -0.000017        0.000034       -0.000054
    39      1         22       25        0        0       -0.048732        0.073263       -0.080889        0.119521        0.000000       -0.000017        0.000034       -0.000054
    40      1       2212       26        0        0       -0.228069       -0.133859        6.799300        6.868826        0.938270       -6.195594       -7.683426      270.826365
    41      1       -211       26        0        0        0.036588       -0.103605        1.570849        1.580860        0.139570       -6.195594       -7.683426      270.826365
    42     11      -3122       28       48       49       -0.136717       -0.381450        3.748118        3.931581        1.115680      -36.996511      -97.024447     1417.050445
    43     11        111       28       50       51        0.017994        0.070097        0.799213        0.813755        0.134980      -36.996511      -97.024447     1417.050445
    44      1        130       30        0        0       -0.268071        0.238502        0.040399        0.614860        0.497670        0.000000        0.000000        0.000000
    45     11        310       34       52       53       -0.364695        0.197733       -0.961997        1.159833        0.497670        0.000000        0.000000        0.000000
    46      1         22       37        0        0       -0.302882        0.319046       -0.348293        0.561102        0.000000       -0.000093        0.000086       -0.000083
    47      1         22       37        0        0       -0.150737        0.103472       -0.056057        0.191234        0.000000       -0.000093        0.000086       -0.000083
    48      1      -2212       42        0        0       -0.057016       -0.365445        2.960533        3.127604        0.938270      -40.857227     -107.796135     1522.892874
    49      1        211       42        0        0       -0.079701       -0.016005        0.787585        0.803977        0.139570      -40.857227     -107.796135     1522.892874
    50      1         22       43        0        0        0.073204        0.029516        0.535534        0.541320        0.000000      -36.996509      -97.024438     1417.050544
    51      1         22       43        0        0       -0.055210        0.040581        0.263678        0.272436        0.000000      -36.996509      -97.024438     1417.050544
    52      1        211       45        0        0       -0.414616        0.115276       -0.828527        0.943997        0.139570      -21.444338       11.626849      -56.566141
    53      1       -211       45        0        0        0.049921        0.082457       -0.133470        0.215836        0.139570      -21.444338       11.626849      -56.566141
 =============== Event finished ===============
   0          7    1   99 2212          4  0.044668           22     0.948683     0.000000      0.03187106370       11.38921452495        0.04466811940      244.46525573730      135.87460327148        0.07150724846      220.01873144763        -110.009365724        -110.009365724           0.000000000          11.389214525           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.338365546        -110.009365724             49
 ============================================
     1     21         11        0        3        4        0.000000        0.000000      -20.000000       20.000000        0.000510        0.000000        0.000000        0.000000
     2     21       2212        0        5        0       -0.000000        0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     3     21         11        1        0        0       -3.312090        0.237243      -19.220210       19.504941        0.000510        0.000000        0.000000        0.000000
     4     21         22        1        0        0        3.312090       -0.237243       -0.779790        0.495059       -3.374791        0.000000        0.000000        0.000000
     5     21       2212        2        0        0        0.000000       -0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     6     21         22        4        0        0        3.323521       -0.238062       -0.751703        0.527547       -3.374791        0.000000        0.000000        0.000000
     7     21          4        5        0        0       -0.000509        0.000036        4.450192        4.450192        0.000000        0.000000        0.000000        0.000000
     8     21         22        6        0        0        3.323521       -0.238062       -0.751703        0.527547       -3.374791        0.000000        0.000000        0.000000
     9     21          4        7        0        0       -0.000509        0.000036        4.450192        4.450192        0.000000        0.000000        0.000000        0.000000
    10     21          4        9        0        0        3.323012       -0.238025        3.698489        4.977739        0.000000        0.000000        0.000000        0.000000
    11     11       -423        5       16       17       -0.090198       -0.278345       41.878218       41.927289        2.006700        0.000000        0.000000        0.000000
    12      1         11        3        0        0       -3.312090        0.237243      -19.220210       19.504941        0.000510        0.000000        0.000000        0.000000
    13     12       2103        5       18       18        0.525577        0.186776       51.811278       51.820021        0.771330        0.000000        0.000000        0.000000
    14     12         21       10       18       18        2.580525        0.399793        5.547351        6.131235        0.000000        0.000000        0.000000        0.000000
    15     11          4       10       18       18        0.296186       -0.545466       -0.016636        0.620916        0.000000        0.000000        0.000000        0.000000
    16     11       -421       11       24       27       -0.146699       -0.381256       39.005975       39.052648        1.864500        0.000000        0.000000        0.000000
    17      1         22       11        0        0        0.056501        0.102911        2.872243        2.874641        0.000000        0.000000        0.000000        0.000000
    18     11         92       13       19       23        3.402288        0.041102       57.341993       58.572172       11.446306        0.000000        0.000000        0.000000
    19     11       2114       18       28       29        0.424998        0.135305       33.564378       33.588902        1.203294        0.000000        0.000000        0.000000
    20     11        213       18       30       31       -0.204593        0.168608       12.878741       12.914093        0.917361        0.000000        0.000000        0.000000
    21      1       -321       18        0        0        1.679257       -0.099013        4.350746        4.690665        0.493600        0.000000        0.000000        0.000000
    22     11        323       18       32       33        0.124668        0.264275        0.914522        1.226571        0.763375        0.000000        0.000000        0.000000
    23     11        423       18       34       35        1.377959       -0.428073        5.633605        6.151940        2.006700        0.000000        0.000000        0.000000
    24      1        321       16        0        0        0.162617       -0.650110       14.219410       14.243748        0.493600       -0.010166       -0.026420        2.702955
    25      1       -211       16        0        0       -0.348800        0.317307       21.321766       21.327436        0.139570       -0.010166       -0.026420        2.702955
    26     11        111       16       36       37       -0.036116        0.027453        0.932680        0.943488        0.134980       -0.010166       -0.026420        2.702955
    27     11        111       16       38       39        0.075601       -0.075906        2.532119        2.537976        0.134980       -0.010166       -0.026420        2.702955
    28      1       2212       19        0        0        0.184883        0.135476       22.003845       22.025033        0.938270        0.000000        0.000000        0.000000
    29      1       -211       19        0        0        0.240115       -0.000170       11.560534       11.563869        0.139570        0.000000        0.000000        0.000000
    30      1        211       20        0        0        0.034146        0.120288       11.750450       11.751944        0.139570        0.000000        0.000000        0.000000
    31     11        111       20       40       41       -0.238738        0.048319        1.128291        1.162149        0.134980        0.000000        0.000000        0.000000
    32     11        311       22       42       42        0.022770        0.357278        0.614112        0.867742        0.497670        0.000000        0.000000        0.000000
    33      1        211       22        0        0        0.101898       -0.093003        0.300410        0.358830        0.139570        0.000000        0.000000        0.000000
    34     11        421       23       43       44        1.290462       -0.355959        5.223024        5.705115        1.864500        0.000000        0.000000        0.000000
    35     11        111       23       45       46        0.087496       -0.072115        0.410582        0.446825        0.134980        0.000000        0.000000        0.000000
    36      1         22       26        0        0        0.051088        0.003844        0.387696        0.391067        0.000000       -0.010180       -0.026409        2.703315
    37      1         22       26        0        0       -0.087204        0.023610        0.544984        0.552421        0.000000       -0.010180       -0.026409        2.703315
    38      1         22       27        0        0        0.020552        0.002296        1.737495        1.737618        0.000000       -0.010162       -0.026423        2.703071
    39      1         22       27        0        0        0.055048       -0.078202        0.794624        0.800358        0.000000       -0.010162       -0.026423        2.703071
    40      1         22       31        0        0       -0.105323        0.063158        0.766127        0.775907        0.000000       -0.000053        0.000011        0.000251
    41      1         22       31        0        0       -0.133416       -0.014839        0.362164        0.386242        0.000000       -0.000053        0.000011        0.000251
    42      1        130       32        0        0        0.022770        0.357278        0.614112        0.867742        0.497670        0.000000        0.000000        0.000000
    43     11       -323       34       47       48        0.403238       -0.776245        3.555721        3.765222        0.876690        0.054583       -0.015056        0.220920
    44      1        211       34        0        0        0.887224        0.420286        1.667302        1.939893        0.139570        0.054583       -0.015056        0.220920
    45      1         22       35        0        0        0.015053       -0.097961        0.219138        0.240509        0.000000        0.000002       -0.000002        0.000011
    46      1         22       35        0        0        0.072443        0.025846        0.191444        0.206317        0.000000        0.000002       -0.000002        0.000011
    47     11       -311       43       49       49        0.198270       -0.274563        1.182417        1.326831        0.497670        0.054583       -0.015056        0.220920
    48      1       -211       43        0        0        0.204969       -0.501682        2.373304        2.438391        0.139570        0.054583       -0.015056        0.220920
    49      1        130       47        0        0        0.198270       -0.274563        1.182417        1.326831        0.497670        0.054583       -0.015056        0.220920
 =============== Event finished ===============
   0          8    1   99 2212          2  0.025837           22     0.948683     0.000000      0.10289722313       21.26885752120        0.02583693340      802.80743408203      438.67755126953        1.34106098240      722.52665547878        -361.263327739        -361.263327739           0.000000000          21.268857521           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.321602900        -361.263327739             53
 ============================================
     1     21         11        0        3        4        0.000000        0.000000      -20.000000       20.000000        0.000510        0.000000        0.000000        0.000000
     2     21       2212        0        5        0       -0.000000        0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     3     21         11        1        0        0       -0.994704        4.253341      -17.676189       18.207910        0.000510        0.000000        0.000000        0.000000
     4     21         22        1        0        0        0.994704       -4.253341       -2.323811        1.792090       -4.611817        0.000000        0.000000        0.000000
     5     21       2212        2        0        0        0.000000       -0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     6     21         22        4        0        0        0.995768       -4.257889       -2.320773        1.799529       -4.611817        0.000000        0.000000        0.000000
     7     21          2        5        0        0       -0.000027        0.000117        2.580855        2.580855        0.000000        0.000000        0.000000        0.000000
     8     21         22        6        0        0        0.995768       -4.257889       -2.320773        1.799529       -4.611817        0.000000        0.000000        0.000000
     9     21          2        7        0        0       -0.000027        0.000117        2.580855        2.580855        0.000000        0.000000        0.000000        0.000000
    10     21          2        9        0        0        0.995740       -4.257772        0.260082        4.380384        0.000000        0.000000        0.000000        0.000000
    11      1         11        3        0        0       -0.994704        4.253341      -17.676189       18.207910        0.000510        0.000000        0.000000        0.000000
    12     12       2101        5       16       16        0.449336       -0.368399       95.767114       95.770629        0.579330        0.000000        0.000000        0.000000
    13     12         21       10       16       16       -1.130811       -0.134324        0.373886        1.198568        0.000000        0.000000        0.000000        0.000000
    14     12         21       10       16       16        1.661227       -3.668220        1.900292        4.452710        0.000000        0.000000        0.000000        0.000000
    15     11          2       10       16       16        0.014951       -0.082398       -0.365103        0.374584        0.000000        0.000000        0.000000        0.000000
    16     11         92       12       17       24        0.994704       -4.253341       97.676189      101.796491       28.333856        0.000000        0.000000        0.000000
    17      1       2112       16        0        0        0.441662       -0.493083       60.526845       60.537756        0.939570        0.000000        0.000000        0.000000
    18     11        113       16       25       26       -0.295769        0.128961       29.349594       29.361134        0.757223        0.000000        0.000000        0.000000
    19     11        213       16       27       28       -0.054038       -0.139836        5.110957        5.167057        0.744400        0.000000        0.000000        0.000000
    20     11        221       16       29       31        0.435942        0.169647        0.445976        0.847007        0.547450        0.000000        0.000000        0.000000
    21     11       -213       16       32       33        0.282001       -1.466126        0.681368        1.792315        0.720473        0.000000        0.000000        0.000000
    22      1        211       16        0        0       -0.429750        0.083307        0.625361        0.776003        0.139570        0.000000        0.000000        0.000000
    23     11        331       16       34       36        0.120461       -1.084602        0.304652        1.483630        0.957849        0.000000        0.000000        0.000000
    24     11        223       16       37       39        0.494196       -1.451610        0.631438        1.831588        0.777561        0.000000        0.000000        0.000000
    25      1       -211       18        0        0       -0.167059        0.395031       21.510050       21.514778        0.139570        0.000000        0.000000        0.000000
    26      1        211       18        0        0       -0.128711       -0.266070        7.839545        7.846356        0.139570        0.000000        0.000000        0.000000
    27      1        211       19        0        0       -0.216339       -0.367096        3.136219        3.168109        0.139570        0.000000        0.000000        0.000000
    28     11        111       19       40       41        0.162300        0.227261        1.974737        1.998949        0.134980        0.000000        0.000000        0.000000
    29     11        111       20       42       43        0.066431       -0.048728        0.122561        0.200071        0.134980        0.000000        0.000000        0.000000
    30     11        111       20       44       45        0.339248        0.211090        0.246222        0.488358        0.134980        0.000000        0.000000        0.000000
    31     11        111       20       46       47        0.030262        0.007285        0.077192        0.158578        0.134980        0.000000        0.000000        0.000000
    32      1       -211       21        0        0        0.412440       -1.299769        0.703092        1.540560        0.139570        0.000000        0.000000        0.000000
    33     11        111       21       48       49       -0.130439       -0.166357       -0.021725        0.251755        0.134980        0.000000        0.000000        0.000000
    34      1       -211       23        0        0       -0.035294       -0.222471        0.044129        0.268638        0.139570        0.000000        0.000000        0.000000
    35      1        211       23        0        0        0.162459       -0.277239       -0.053693        0.354425        0.139570        0.000000        0.000000        0.000000
    36     11        221       23       50       51       -0.006704       -0.584891        0.314216        0.860567        0.547450        0.000000        0.000000        0.000000
    37      1       -211       24        0        0        0.537446       -0.823863        0.388764        1.066872        0.139570        0.000000        0.000000        0.000000
    38      1        211       24        0        0        0.049395       -0.366553        0.043504        0.397710        0.139570        0.000000        0.000000        0.000000
    39     11        111       24       52       53       -0.092645       -0.261193        0.199170        0.367006        0.134980        0.000000        0.000000        0.000000
    40      1         22       28        0        0        0.104373        0.154496        0.841823        0.862223        0.000000        0.000011        0.000015        0.000134
    41      1         22       28        0        0        0.057928        0.072765        1.132914        1.136725        0.000000        0.000011        0.000015        0.000134
    42      1         22       29        0        0        0.033412        0.038092        0.005996        0.051023        0.000000        0.000002       -0.000002        0.000005
    43      1         22       29        0        0        0.033019       -0.086820        0.116565        0.149048        0.000000        0.000002       -0.000002        0.000005
    44      1         22       30        0        0        0.155364        0.132312        0.194086        0.281627        0.000000        0.000068        0.000042        0.000050
    45      1         22       30        0        0        0.183884        0.078778        0.052136        0.206730        0.000000        0.000068        0.000042        0.000050
    46      1         22       31        0        0       -0.006991       -0.057846        0.012694        0.059634        0.000000        0.000004        0.000001        0.000010
    47      1         22       31        0        0        0.037253        0.065132        0.064499        0.098944        0.000000        0.000004        0.000001        0.000010
    48      1         22       33        0        0       -0.038535       -0.119138       -0.063389        0.140346        0.000000       -0.000031       -0.000039       -0.000005
    49      1         22       33        0        0       -0.091905       -0.047219        0.041664        0.111409        0.000000       -0.000031       -0.000039       -0.000005
    50      1         22       36        0        0       -0.025663       -0.577259        0.444294        0.728893        0.000000        0.000000        0.000000        0.000000
    51      1         22       36        0        0        0.018959       -0.007632       -0.130079        0.131674        0.000000        0.000000        0.000000        0.000000
    52      1         22       39        0        0       -0.021348       -0.223273        0.168866        0.280753        0.000000       -0.000018       -0.000050        0.000038
    53      1         22       39        0        0       -0.071297       -0.037920        0.030304        0.086253        0.000000       -0.000018       -0.000050        0.000038
 =============== Event finished ===============
   0          9    1   99 2212          2  0.002233           22     0.948683     0.000000      0.67721711072       12.09640496177        0.00223269220     5406.64013671875     2887.15209960938        5.32538508035     4865.97606057619       -2432.988030288       -2432.988030288           0.000000000          12.096404962           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.201549051       -2432.988030288             45
 ============================================
     1     21         11        0        3        4        0.000000        0.000000      -20.000000       20.000000        0.000510        0.000000        0.000000        0.000000
     2     21       2212        0        5        0       -0.000000        0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     3     21         11        1        0        0       -1.136824       -1.616212       -6.304449        6.606860        0.000510        0.000000        0.000000        0.000000
     4     21         22        1        0        0        1.136824        1.616212      -13.695551       13.393140       -3.477989        0.000000        0.000000        0.000000
     5     21       2212        2        0        0        0.000000        0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     6     21         22        4        0        0        1.137009        1.616475      -13.697703       13.395389       -3.477989        0.000000        0.000000        0.000000
     7     21          2        5        0        0       -0.000000       -0.000001        0.223238        0.223238        0.000000        0.000000        0.000000        0.000000
     8     21         22        6        0        0        1.137009        1.616475      -13.697703       13.395389       -3.477989        0.000000        0.000000        0.000000
     9     21          2        7        0        0       -0.000000       -0.000001        0.223238        0.223238        0.000000        0.000000        0.000000        0.000000
    10     21          2        9        0        0        1.137008        1.616474      -13.474466       13.618627        0.000000        0.000000        0.000000        0.000000
    11      1         11        3        0        0       -1.136824       -1.616212       -6.304449        6.606860        0.000510        0.000000        0.000000        0.000000
    12     12       2101        5       15       15        0.064847       -0.234977       99.564453       99.566437        0.579330        0.000000        0.000000        0.000000
    13     12         21       10       15       15        1.092516       -0.113343       -1.260844        1.672174        0.000000        0.000000        0.000000        0.000000
    14     11          2       10       15       15       -0.020538        1.964531      -11.999159       12.158932        0.000000        0.000000        0.000000        0.000000
    15     11         92       12       16       26        1.136824        1.616212       86.304449      113.397542       73.529858        0.000000        0.000000        0.000000
    16      1       2112       15        0        0        0.578067       -0.132499       60.571669       60.581858        0.939570        0.000000        0.000000        0.000000
    17     11        111       15       27       28       -0.446262       -0.142264        8.004484        8.019312        0.134980        0.000000        0.000000        0.000000
    18     11        213       15       29       30       -0.090145       -0.127814       18.882408       18.896090        0.701720        0.000000        0.000000        0.000000
    19     11        111       15       31       32       -0.245926       -0.007935        0.282686        0.398338        0.134980        0.000000        0.000000        0.000000
    20      1      -2212       15        0        0        0.255051        0.334808        4.440117        4.557646        0.938270        0.000000        0.000000        0.000000
    21      1       2112       15        0        0       -0.021582        0.256832        2.459190        2.645154        0.939570        0.000000        0.000000        0.000000
    22     11        113       15       33       34        0.337556       -0.588965        3.805061        3.956139        0.843640        0.000000        0.000000        0.000000
    23      1      -2112       15        0        0        0.398726        0.365544       -0.025152        1.084449        0.939570        0.000000        0.000000        0.000000
    24      1       2112       15        0        0       -0.067078        0.280615       -0.121278        0.990325        0.939570        0.000000        0.000000        0.000000
    25     11        223       15       35       37        0.127124        0.431406       -1.941522        2.142158        0.785532        0.000000        0.000000        0.000000
    26     11        213       15       38       39        0.311293        0.946484      -10.053212       10.126073        0.691046        0.000000        0.000000        0.000000
    27      1         22       17        0        0       -0.357084       -0.134073        5.489865        5.503100        0.000000       -0.000148       -0.000047        0.002657
    28      1         22       17        0        0       -0.089178       -0.008191        2.514618        2.516212        0.000000       -0.000148       -0.000047        0.002657
    29      1        211       18        0        0        0.068192       -0.340282        7.023646        7.033600        0.139570        0.000000        0.000000        0.000000
    30     11        111       18       40       41       -0.158337        0.212468       11.858762       11.862490        0.134980        0.000000        0.000000        0.000000
    31      1         22       19        0        0       -0.038338        0.026937        0.001225        0.046871        0.000000       -0.000026       -0.000001        0.000030
    32      1         22       19        0        0       -0.207588       -0.034872        0.281461        0.351467        0.000000       -0.000026       -0.000001        0.000030
    33      1       -211       22        0        0        0.501748       -0.216691        1.340885        1.454702        0.139570        0.000000        0.000000        0.000000
    34      1        211       22        0        0       -0.164192       -0.372274        2.464176        2.501438        0.139570        0.000000        0.000000        0.000000
    35      1       -211       25        0        0        0.005922        0.005403       -0.738772        0.751883        0.139570        0.000000        0.000000        0.000000
    36      1        211       25        0        0        0.239310        0.164882       -0.883688        0.940659        0.139570        0.000000        0.000000        0.000000
    37     11        111       25       42       43       -0.118108        0.261121       -0.319062        0.449615        0.134980        0.000000        0.000000        0.000000
    38      1        211       26        0        0        0.481037        0.821471       -8.030045        8.087479        0.139570        0.000000        0.000000        0.000000
    39     11        111       26       44       45       -0.169744        0.125013       -2.023167        2.038594        0.134980        0.000000        0.000000        0.000000
    40      1         22       30        0        0       -0.076959        0.008079        3.069859        3.070835        0.000000       -0.000006        0.000008        0.000430
    41      1         22       30        0        0       -0.081378        0.204388        8.788902        8.791655        0.000000       -0.000006        0.000008        0.000430
    42      1         22       37        0        0       -0.130803        0.267079       -0.318243        0.435568        0.000000       -0.000008        0.000019       -0.000023
    43      1         22       37        0        0        0.012695       -0.005958       -0.000819        0.014048        0.000000       -0.000008        0.000019       -0.000023
    44      1         22       39        0        0       -0.074103        0.055359       -1.470389        1.473295        0.000000       -0.000000        0.000000       -0.000003
    45      1         22       39        0        0       -0.095641        0.069654       -0.552778        0.565299        0.000000       -0.000000        0.000000       -0.000003
 =============== Event finished ===============
   0         10    1  131 2212          2  0.441442           22     1.000000     0.015635      0.03712765729       24.06732683739        0.08102718741      273.84082031250      158.28482055664        0.25431798573      120.88474473456         -42.488575768        -102.463495804          25.047477053          37.081140471           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.323671120         -42.488575768             45
 ============================================
     1     21         11        0        3        4        0.000000        0.000000      -20.000000       20.000000        0.000510        0.000000        0.000000        0.000000
     2     21       2212        0        5        0       -0.000000        0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
