  PYTHIA EVENT FILE 
 ============================================
I, ievent, genevent, subprocess, nucleon,                 targetparton, xtargparton, beamparton, xbeamparton,               thetabeamprtn, truey, trueQ2, truex, trueW2, trueNu, leptonphi,   s_hat, t_hat, u_hat, pt2_hat, Q2_hat, F2, F1, R, sigma_rad,       SigRadCor, EBrems, photonflux, t-diff, nrTracks
 ============================================
  I  K(I,1)  K(I,2)  K(I,3)  K(I,4)  K(I,5)            P(I,1)  P(I,2)  P(I,3)  P(I,4)  P(I,5)  V(I,1)  V(I,2)  V(I,3)
 ============================================
   0          1    1   99 2212         -4  0.012570           22     0.948683     0.000000      0.31094973662       31.26930419406        0.01256980281     2457.26367187500     1325.65930175781        3.08330475421     2211.53731874763       -1105.768659374       -1105.768659374           0.000000000          31.269304194           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.266402228       -1105.768659374             63
 ============================================
    50      1         22       35        0        0        0.179758       -0.039180        4.934491        4.937920        0.000000        0.000083       -0.000018        0.001802
    51      1         22       35        0        0        0.086591       -0.018038        0.858563        0.863107        0.000000        0.000083       -0.000018        0.001802
    52      1       -211       36        0        0        0.165827       -0.058137        0.156500        0.273588        0.139570        2.002484       -0.062746        0.815025
    53      1        211       36        0        0       -0.107954        0.056323       -0.132945        0.227992        0.139570        2.002484       -0.062746        0.815025
    54      1         22       41        0        0       -0.062007        0.151100        0.258843        0.306065        0.000000        0.000000        0.000042        0.000070
    55      1         22       41        0        0        0.063833        0.341721        0.561797        0.660654        0.000000        0.000000        0.000042        0.000070
    56      1        321       44        0        0       -1.166932       -0.383403       -0.488510        1.411032        0.493600       -0.942992       -0.002510       -0.880205
    57     11       -213       44       60       61       -1.997021        0.374980       -2.464779        3.301604        0.834719       -0.942992       -0.002510       -0.880205
    58      1         22       45        0        0       -0.304740        0.013260       -0.203475        0.366666        0.000000       -0.000092        0.000006       -0.000082
    59      1         22       45        0        0       -0.016441        0.008964       -0.082541        0.084638        0.000000       -0.000092        0.000006       -0.000082
    60      1       -211       57        0        0       -0.918438        0.030744       -0.570392        1.090550        0.139570       -0.942992       -0.002510       -0.880205
    61     11        111       57       62       63       -1.078583        0.344236       -1.894387        2.211054        0.134980       -0.942992       -0.002510       -0.880205
    62      1         22       61        0        0       -0.851326        0.320328       -1.565654        1.810701        0.000000       -0.943020       -0.002501       -0.880254
    63      1         22       61        0        0       -0.227257        0.023908       -0.328732        0.400353        0.000000       -0.943020       -0.002501       -0.880254
 =============== Event finished ===============
   0          2    1   99 2212          2  0.130359           22     0.948683     0.000000      0.01781980953       18.58415963832        0.13035878539      124.85781097412       75.97046661377        4.43208582450      112.37202421429         -56.186012107         -56.186012107           0.000000000          18.584159638           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.311561709         -56.186012107             31
 ============================================
     1     21         11        0        3        4        0.000000        0.000000      -20.000000       20.000000        0.000510        0.000000        0.000000        0.000000
     2     21       2212        0        5        0       -0.000000        0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     3     21         11        1        0        0        1.181933       -4.105609      -19.411297       19.875901        0.000510        0.000000        0.000000        0.000000
     4     21         22        1        0        0       -1.181933        4.105609       -0.588703        0.124099       -4.310935        0.000000        0.000000        0.000000
     5     21       2212        2        0        0       -0.000000        0.000000      100.000000      100.004401        0.938270        0.000000        0.000000        0.000000
     6     21         22        4        0        0       -1.189214        4.130901       -0.432211        0.284990       -4.310935        0.000000        0.000000        0.000000
     7     21          2        5        0        0        0.000943       -0.003277       12.935599       12.935599        0.000000        0.000000        0.000000        0.000000
     8     21         22        6        0        0       -1.189214        4.130901       -0.432211        0.284990       -4.310935        0.000000        0.000000        0.000000
     9     21          2        7        0        0        0.000943       -0.003277       12.935599       12.935599        0.000000        0.000000        0.000000        0.000000
    10     21          2        9        0        0       -1.188271        4.127624       12.503388       13.220589        0.000000        0.000000        0.000000        0.000000
    11      1         11        3        0        0        1.181933       -4.105609      -19.411297       19.875901        0.000510        0.000000        0.000000        0.000000
    12     12       2101        5       16       16        0.092742        0.397305       81.582005       81.585082        0.579330        0.000000        0.000000        0.000000
    13     12         21       10       16       16       -0.949579        0.988375       10.629141       10.717146        0.000000        0.000000        0.000000        0.000000
    14     12         21       10       16       16        0.331343        0.116858        0.527114        0.633477        0.000000        0.000000        0.000000        0.000000
    15     11          2       10       16       16       -0.656439        2.603071        6.673038        7.192797        0.000000        0.000000        0.000000        0.000000
    16     11         92       12       17       23       -1.181933        4.105609       99.411297      100.128501       11.173979        0.000000        0.000000        0.000000
    17      1       2212       16        0        0        0.278225        0.457959       40.845205       40.859494        0.938270        0.000000        0.000000        0.000000
    18      1       -211       16        0        0       -0.386937       -0.136315        9.992952       10.002343        0.139570        0.000000        0.000000        0.000000
    19     11        111       16       24       25        0.039878        0.730301       22.822274       22.834390        0.134980        0.000000        0.000000        0.000000
    20     11        213       16       26       27       -0.153151       -0.173127        4.674646        4.750286        0.812080        0.000000        0.000000        0.000000
    21     11        113       16       28       29       -0.415562        0.450733        8.538979        8.613770        0.952374        0.000000        0.000000        0.000000
    22      1      -2212       16        0        0        0.167537        2.150461        7.824860        8.170761        0.938270        0.000000        0.000000        0.000000
    23      1       2212       16        0        0       -0.711923        0.625598        4.712381        4.897457        0.938270        0.000000        0.000000        0.000000
    24      1         22       19        0        0        0.055806        0.252467        9.576371        9.579861        0.000000        0.000001        0.000012        0.000376
